,X,Y,ilmenite,magnetite,hematite,pyroxene,feldspar,apatite,graphite
2,0.0,1.5599100000000004,0.0,0.0,0.0,55.0384168959348,81.92171862585263,34.52030169621713,68.21147769283971
3,0.0,3.11981,0.0,0.0,0.0,60.397446877761126,66.10422940839177,54.47383656980045,62.19679263713039
4,0.0,4.6797200000000005,0.0,0.0,53.10572756193568,61.020502115229846,71.79309208183346,53.99099975886773,52.5371034761431
5,0.0,6.23962,0.0,0.0,64.23875842194576,73.22085749358365,76.63576076758667,61.95201585803892,61.49572074268559
6,0.0,7.799523000000001,0.0,0.0,61.07368596218126,68.77797486050213,106.60485134721856,49.99228859379952,60.21398291579448
7,0.0,9.35943,0.0,0.0,67.23318756756856,63.38278595264097,65.10313920748834,32.40392329118174,56.609202994795936
8,0.0,10.91933,0.0,0.0,0.0,47.14750599099378,68.089401308503,36.54572715445474,61.71744102483416
9,0.0,12.47923,0.0,0.0,80.16175886213927,78.22076335505318,83.1718849278991,51.65723881521416,79.6231081708039
10,0.0,14.03914,0.0,0.0,0.0,65.99335213937246,97.94675869955417,62.020963234522696,78.6142787667415
11,1.5486900000000006,0.0,0.0,0.0,0.0,38.07867374839845,66.58323313765712,33.266804938060815,38.43625542530359
12,1.5486900000000006,1.5599100000000004,0.0,0.0,0.0,39.082245094083774,60.07978991680473,21.78642084375352,40.13377325065439
13,1.5486900000000006,3.11981,0.0,0.0,0.0,41.479451196154585,59.0627471352914,26.805534608059247,43.4578834083665
14,1.5486900000000006,4.6797200000000005,0.0,0.0,0.0,43.866880903121086,50.18267568842619,30.81852854523809,41.565484629125706
15,1.5486900000000006,6.23962,0.0,0.0,0.0,41.738731075222034,62.23357027363747,28.592241038350807,45.08318019726707
16,1.5486900000000006,7.799523000000001,0.0,37.14709751635381,0.0,42.02758794134331,62.51843537108162,37.51214867580343,49.54550538553957
17,1.5486900000000006,9.35943,0.0,0.0,35.19159261904412,35.55795226664482,57.77063141087626,29.67922556554348,38.5503520942238
18,1.5486900000000006,10.91933,0.0,35.13450160543,0.0,40.62668240135024,51.82815233515717,30.70360257670798,46.6060390712161
19,1.5486900000000006,12.47923,0.0,53.53062142500755,0.0,54.87556286494035,47.00628678649872,27.49351720262044,52.59064477835713
20,1.5486900000000006,14.03914,0.0,0.0,0.0,66.36427336090952,97.43760446804558,58.59618021894261,72.05352830728879
