R	S_avg	S_std	S_avg_smooth	S_sum
2.113220000000000027e+02	8.833333333333332860e+01	3.692183936672470423e+01	8.701598793363545781e+01	5.300000000000000000e+02
2.144190000000000111e+02	8.300000000000000000e+01	3.397548135543237890e+01	9.219064856711963785e+01	4.980000000000000000e+02
2.175140000000000100e+02	8.400000000000000000e+01	3.200000000000000000e+01	9.863288084464608119e+01	5.040000000000000000e+02
2.206080000000000041e+02	9.733333333333332860e+01	3.440284225984178335e+01	1.037882352941181949e+02	5.840000000000000000e+02
2.237009999999999934e+02	1.073333333333333286e+02	3.753516869402466227e+01	1.078147812971348003e+02	6.440000000000000000e+02
2.267940000000000111e+02	1.303333333333333428e+02	2.810496199764178726e+01	1.095049773755661988e+02	7.820000000000000000e+02
2.298849999999999909e+02	1.380000000000000000e+02	3.477547028198659973e+01	1.113016591251891327e+02	8.280000000000000000e+02
2.329749999999999943e+02	1.133333333333333286e+02	3.480740661921763746e+01	1.128769230769236742e+02	6.800000000000000000e+02
2.360639999999999930e+02	1.046666666666666714e+02	4.081938537291102165e+01	1.142244343891408676e+02	6.280000000000000000e+02
2.391519999999999868e+02	9.700000000000000000e+01	3.569780572154727594e+01	1.137339366515843153e+02	5.820000000000000000e+02
2.422390000000000043e+02	9.833333333333332860e+01	3.670452590924206504e+01	1.106295625942690606e+02	5.900000000000000000e+02
2.453249999999999886e+02	1.013333333333333286e+02	3.373754914367999191e+01	1.069942684766219827e+02	6.080000000000000000e+02
2.484079999999999870e+02	1.170000000000000000e+02	3.461695153148718873e+01	1.024944193061845681e+02	7.020000000000000000e+02
2.514919999999999902e+02	1.120000000000000000e+02	4.059556626036887650e+01	1.010582202111619381e+02	6.720000000000000000e+02
2.545749999999999886e+02	1.066666666666666714e+02	3.763272807307785683e+01	1.012986425339371834e+02	6.400000000000000000e+02
2.576569999999999823e+02	9.866666666666667140e+01	3.679975845331355089e+01	9.981990950226297343e+01	5.920000000000000000e+02
2.607359999999999900e+02	9.033333333333332860e+01	3.740617893105659419e+01	9.747179487179539592e+01	5.420000000000000000e+02
2.638159999999999741e+02	9.133333333333332860e+01	3.490304030055580142e+01	9.375656108597334537e+01	5.480000000000000000e+02
2.668949999999999818e+02	8.800000000000000000e+01	3.963163719387159745e+01	9.077285067873351920e+01	5.280000000000000000e+02
2.699700000000000273e+02	9.366666666666667140e+01	4.040489519297823762e+01	8.757647058823576458e+01	5.620000000000000000e+02
